TAIR ID;Name;downregulated in following transcriptomes;upregulated in following transcriptomes;the number of transcriptomes where registered as DEG (FDR<0.05);start of expression changes;1 logFC_4h_SRP017925;2 logFC_4h_SRP017926;3 logFC_4h_SRP069072;4 logFC_4h_SRP076862_root;5 logFC_4h_SRP168223;6 logFC_12h_SRP017925;7 logFC_24h_SRP017925;8 logFC_4h_SRP076862_shoot;9 logFC_4h_GSE7432;10 logFC_4h_SRP126162;11 logFC_2h_SRP118634;12 logFC_4h_SRP118634;13 logFC_4h_GSE84446;14 logFC_8h_GSE84446;15 logFC_12h_GSE84446;16 logFC_24h_GSE84446;1 FDR_4h_SRP017925;2 FDR_4h_SRP017926;3 FDR_4h_SRP069072;4 FDR_4h_SRP076862_root;5 FDR_4h_SRP168223;6 FDR_12h_SRP017925;7 FDR_24h_SRP017925;8 FDR_4h_SRP076862_shoot;9 FDR_4h_GSE7432;10 FDR_4h_SRP126162;11 FDR_2h_SRP118634;12 FDR_4h_SRP118634;13 FDR_4h_GSE84446;14 FDR_8h_GSE84446;15 FDR_12h_GSE84446;16 FDR_24h_GSE84446
AT3G01260;Galactose mutarotase-like superfamily protein(AT3G01260);3-4#7-8#10#12;;6;4h;;;-2.1;-1.1;;;-2.2;-2.1;;-0.6;;-1;;;;;;;5.77E-07;4.59E-14;;;0.005293751;3.24E-09;;9.12E-06;;7.55E-06;;;;
AT3G01513;hypothetical protein(AT3G01513);05.μΰπ;;3;4h;;;-2.1;-0.8;-1.3;;;;;;;;;;;;;;0.000100893;0.006763646;0.004659808;;;;;;;;;;;
AT5G52320;cytochrome P450, family 96, subfamily A, polypeptide 4(CYP96A4);3#5#8#15;;4;4h;;;-2.1;;-1.5;;;-1.9;;;;;;;-0.6;;;;7.93E-05;;0.025205918;;;0.01086004;;;;;;;0.025903426;
AT3G11180;2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein(AT3G11180);3;;1;4h;;;-2;;;;;;;;;;;;;;;;0.004678559;;;;;;;;;;;;;
AT3G09940;monodehydroascorbate reductase(MDHAR);3-5#8#10;14;6;4h;;;-2;-0.7;-1.2;;;-4.6;;-1.2;;;;0.7;;;;;0.00038545;0.027569481;3.46E-07;;;8.35E-27;;2.23E-22;;;;0.00805808;;
AT3G27970;Exonuclease family protein(AT3G27970);3;;1;4h;;;-2;;;;;;;;;;;;;;;;0.009941024;;;;;;;;;;;;;
AT1G54820;Protein kinase superfamily protein(AT1G54820);3#8#10;;3;4h;;;-2;;;;;-2.4;;-3;;;;;;;;;2.89E-05;;;;;0.008663529;;0.023661798;;;;;;
AT5G67620;DUF4228 domain protein(AT5G67620);3#5;;2;4h;;;-2;;-1;;;;;;;;;;;;;;0.000139073;;0.030972801;;;;;;;;;;;
AT3G48940;Remorin family protein(AT3G48940);3#5#8#14#16;;5;4h;;;-2;;-2.4;;;-2.5;;;;;;-0.9;;-0.7;;;6.66E-09;;7.84E-16;;;0.000203632;;;;;;0.042329309;;0.01221864
AT3G49120;peroxidase CB(PRXCB);08.μΰπ;;6;4h;;;-2;-0.5;-1.3;-0.6;-1.4;-1.5;;;;;;;;;;;3.20E-248;1.76E-10;2.20E-16;0.040547656;8.86E-06;3.19E-35;;;;;;;;
AT4G19975;;3#5#8;;3;4h;;;-2;;-2.8;;;-1.9;;;;;;;;;;;4.36E-07;;1.41E-10;;;1.87E-05;;;;;;;;
AT1G68795;CLAVATA3/ESR-RELATED 12(CLE12);3#5#7#14#16;;5;4h;;;-2;;-2.1;;-1.4;;;;;;;-0.9;;-1.2;;;0.007480352;;0.012586083;;0.020267818;;;;;;;0.032088057;;0.010420183
AT4G06195;;3#5;;2;4h;;;-2;;-1.2;;;;;;;;;;;;;;0.000211432;;0.017510558;;;;;;;;;;;
AT5G24770;vegetative storage protein 2(VSP2);3#6-8;;4;4h;;;-1.9;;;-2.3;-4;-2;;;;;;;;;;;1.78E-08;;;1.53E-12;1.76E-17;0.000180278;;;;;;;;
AT5G24080;Protein kinase superfamily protein(AT5G24080);05.μΰπ;;3;4h;;;-1.9;-1.9;-2.1;;;;;;;;;;;;;;0.000693542;0.009443257;5.46E-07;;;;;;;;;;;
AT2G38905;Low temperature and salt responsive protein family(AT2G38905);3#6-7;;3;4h;;;-1.9;;;-1.8;-2.3;;;;;;;;;;;;0.033159471;;;0.000233638;4.47E-05;;;;;;;;;
AT1G21100;O-methyltransferase family protein(IGMT1);3-4#8#10#12;;5;4h;;;-1.9;-0.8;;;;-1.7;;-0.7;;-0.8;;;;;;;7.93E-36;7.05E-19;;;;3.39E-12;;2.30E-05;;3.27E-05;;;;
AT4G38420;SKU5 similar 9(sks9);3#8#12;;3;4h;;;-1.9;;;;;-1;;;;-0.7;;;;;;;2.06E-20;;;;;4.82E-06;;;;1.20E-06;;;;
AT1G35625;RING/U-box superfamily protein(AT1G35625);3-4#8;;3;4h;;;-1.9;-1;;;;-7;;;;;;;;;;;0.033792493;0.016741806;;;;0.017047118;;;;;;;;
AT5G42840;Cysteine/Histidine-rich C1 domain family protein(AT5G42840);3#8;;2;4h;;;-1.9;;;;;-3.9;;;;;;;;;;;0.002528285;;;;;0.002287657;;;;;;;;
AT5G01250;alpha 1,4-glycosyltransferase family protein(AT5G01250);3-6#8#10#12;;7;4h;;;-1.9;-0.5;-1.2;-1.3;;-1.9;;-0.7;;-0.5;;;;;;;2.81E-10;0.009132131;2.06E-05;0.033228896;;0.006656117;;0.002487481;;0.02552013;;;;
AT5G02515;;3;;1;4h;;;-1.9;;;;;;;;;;;;;;;;0.00164503;;;;;;;;;;;;;
AT1G54000;GDSL-like Lipase/Acylhydrolase superfamily protein(GLL22);3-5#7-8#10#12;;7;4h;;;-1.9;-1.4;-0.7;;-1.1;-1.4;;-0.7;;-1;;;;;;;6.12E-17;4.98E-62;0.003131828;;0.000216407;2.15E-16;;1.67E-09;;7.88E-31;;;;
AT2G18210;hypothetical protein(AT2G18210);3#5#7-8;;4;4h;;;-1.9;;-1;;-2;-2;;;;;;;;;;;4.76E-09;;0.030455439;;0.000110833;0.001560743;;;;;;;;
AT1G06830;Glutaredoxin family protein(AT1G06830);3;;1;4h;;;-1.9;;;;;;;;;;;;;;;;0.017109;;;;;;;;;;;;;
AT2G25200;hypothetical protein (DUF868)(AT2G25200);3-4#8;;3;4h;;;-1.9;-2.9;;;;-9;;;;;;;;;;;0.000172744;0.022172807;;;;7.69E-07;;;;;;;;
AT3G46170;NAD(P)-binding Rossmann-fold superfamily protein(AT3G46170);3#5#7#14-16;;6;4h;;;-1.9;;-1.7;;-2.9;;;;;;;-1.8;-1.9;-1.4;;;0.01040826;;0.021740878;;0.000662718;;;;;;;0.015367811;0.009083402;0.027600415
AT3G44550;fatty acid reductase 5(FAR5);3-7#14-16;;8;4h;;;-1.9;-1.6;-2;-3.3;-3.2;;;;;;;-1.4;-1.3;-1.4;;;8.57E-06;1.22E-12;1.56E-10;0.000249967;0.000177865;;;;;;;0.001252881;0.02333631;0.038215661
AT3G25640;MIZU-KUSSEI-like protein (Protein of unknown function, DUF617)(AT3G25640);3-7#10#16;;7;4h;;;-1.9;-1.1;-1.6;-2;-2.2;;;-0.6;;;;;;-0.8;;;0.003803615;1.84E-05;1.67E-06;0.03463669;0.023300842;;;0.010655521;;;;;;0.019239088
AT5G43630;zinc knuckle (CCHC-type) family protein(TZP);3-4#8;;3;4h;;;-1.9;-1.6;;;;-1.9;;;;;;;;;;;9.39E-14;0.032153517;;;;5.27E-11;;;;;;;;
AT1G14190;Glucose-methanol-choline (GMC) oxidoreductase family protein(AT1G14190);3;;1;4h;;;-1.9;;;;;;;;;;;;;;;;0.00831662;;;;;;;;;;;;;
AT5G04380;S-adenosyl-L-methionine-dependent methyltransferases superfamily protein(AT5G04380);3;;1;4h;;;-1.8;;;;;;;;;;;;;;;;0.003548813;;;;;;;;;;;;;
AT3G22830;heat shock transcription factor A6B(HSFA6B);3-5#10#12;;5;4h;;;-1.8;-2.4;-1.6;;;;;-1.5;;-0.7;;;;;;;2.48E-05;0.002762998;0.004745027;;;;;0.000136997;;0.028578331;;;;
AT5G24410;6-phosphogluconolactonase 4(PGL4);3-5#8#10#12;;6;4h;;;-1.8;-0.6;-2;;;-1.7;;-1.7;;-0.6;;;;;;;0.037598202;0.002391249;3.33E-07;;;0.027827164;;4.36E-09;;0.04;;;;
AT4G20230;terpenoid synthase superfamily protein(AT4G20230);3-4#9#16;;4;4h;;;-1.8;-1.8;;;;;-1;;;;;;;-0.9;;;0.002100643;0.017127722;;;;;0.038151942;;;;;;;0.026946478
AT5G19970;GRAS family transcription factor family protein(AT5G19970);3#5#8;;3;4h;;;-1.8;;-1;;;-1.7;;;;;;;;;;;1.44E-22;;0.00534293;;;0.000310015;;;;;;;;
AT5G22930;enabled-like protein (DUF1635)(AT5G22930);3;;1;4h;;;-1.8;;;;;;;;;;;;;;;;0.00395549;;;;;;;;;;;;;
AT5G65980;Auxin efflux carrier family protein(AT5G65980);3;10;2;4h;;;-1.8;;;;;;;1.3;;;;;;;;;0.004913528;;;;;;;0.0053301;;;;;;
AT2G48080;oxidoreductase, 2OG-Fe(II) oxygenase family protein(AT2G48080);3#12#14-15;;4;4h;;;-1.8;;;;;;;;;-0.8;;-1.6;-1.3;;;;0.000134311;;;;;;;;;0.037155538;;0.000272109;0.005567231;
AT2G01422;ncRNA(AT2G01422);3;;1;4h;;;-1.8;;;;;;;;;;;;;;;;0.000201768;;;;;;;;;;;;;
AT2G02610;Cysteine/Histidine-rich C1 domain family protein(AT2G02610);3-4#8#10#12#16;;6;4h;;;-1.8;-1;;;;-6.8;;-3;;-1.3;;;;-0.9;;;0.038495398;5.06E-07;;;;0.000515669;;2.21E-37;;0.000720514;;;;0.01595687
AT1G35330;RING/U-box superfamily protein(AT1G35330);3#16;;2;4h;;;-1.8;;;;;;;;;;;;;-0.9;;;0.001219118;;;;;;;;;;;;;0.03052205
AT2G25470;receptor like protein 21(RLP21);3;;1;4h;;;-1.8;;;;;;;;;;;;;;;;0.003622741;;;;;;;;;;;;;
AT3G59130;Cysteine/Histidine-rich C1 domain family protein(AT3G59130);3#5#10;;3;4h;;;-1.8;;-2.3;;;;;-1.6;;;;;;;;;0.015921252;;0.000246858;;;;;0.001482815;;;;;;
AT3G02940;myb domain protein 107(MYB107);3#8#10#14;;4;4h;;;-1.8;;;;;-2.4;;-2.1;;;;-0.7;;;;;0.031946831;;;;;0.013616164;;0.002328661;;;;0.041981209;;
AT3G61840;auxin response factor, putative (DUF688)(AT3G61840);3;;1;4h;;;-1.8;;;;;;;;;;;;;;;;0.021995067;;;;;;;;;;;;;
AT3G55940;Phosphoinositide-specific phospholipase C family protein(AT3G55940);3#8;;2;4h;;;-1.8;;;;;-2.8;;;;;;;;;;;1.08E-06;;;;;2.61E-10;;;;;;;;
AT2G25090;CBL-interacting protein kinase 16(CIPK16);3#5#8#12;;4;4h;;;-1.8;;-1.1;;;-2.8;;;;-0.9;;;;;;;0.000644801;;0.000893097;;;0.000975274;;;;0.035101717;;;;
AT1G51620;Protein kinase superfamily protein(AT1G51620);3;;1;4h;;;-1.8;;;;;;;;;;;;;;;;0.029067342;;;;;;;;;;;;;
AT2G01880;purple acid phosphatase 7(PAP7);3#5#8#16;10;5;4h;;;-1.8;;-1.3;;;-2;;0.7;;;;;;-0.7;;;3.57E-08;;6.43E-10;;;0.002716588;;1.82E-05;;;;;;0.020386811
AT4G33810;Glycosyl hydrolase superfamily protein(AT4G33810);3#16;;2;4h;;;-1.8;;;;;;;;;;;;;-1.2;;;0.005912773;;;;;;;;;;;;;0.03031638
AT1G22500;RING/U-box superfamily protein(ATL15);3#5#8;;3;4h;;;-1.7;;-0.6;;;-0.8;;;;;;;;;;;4.88E-30;;0.014937498;;;0.001848309;;;;;;;;
AT2G43550;scorpion toxin-like knottin superfamily protein(AT2G43550);3#12;;2;4h;;;-1.7;;;;;;;;;-0.4;;;;;;;6.20E-05;;;;;;;;;0.000431725;;;;
AT1G30720;FAD-binding Berberine family protein(AT1G30720);3#8;14-15;4;4h;;;-1.7;;;;;-1.5;;;;;;1.7;1.3;;;;5.62E-30;;;;;3.76E-11;;;;;;0.017811246;0.026287575;
AT4G17030;expansin-like B1(EXLB1);3;;1;4h;;;-1.7;;;;;;;;;;;;;;;;7.71E-09;;;;;;;;;;;;;
AT1G08990;plant glycogenin-like starch initiation protein 5(PGSIP5);3#5#10#14-15;;5;4h;;;-1.7;;-0.8;;;;;-0.7;;;;-1.1;-1;;;;8.73E-13;;0.004302284;;;;;5.37E-05;;;;0.002958364;0.004603501;
AT2G28140;enabled-like protein (DUF1635)(AT2G28140);3;;1;4h;;;-1.7;;;;;;;;;;;;;;;;0.000105414;;;;;;;;;;;;;
AT2G35710;Nucleotide-diphospho-sugar transferases superfamily protein(PGSIP7);3#5#10;;3;4h;;;-1.7;;-1;;;;;-0.9;;;;;;;;;2.45E-07;;0.001967076;;;;;0.001025849;;;;;;
AT4G17470;alpha/beta-Hydrolases superfamily protein(AT4G17470);3-4#6-8#10;;6;4h;;;-1.7;-2;;-1.5;-2.8;-1.2;;-5.3;;;;;;;;;3.08E-16;0.002391249;;3.82E-05;2.04E-13;6.44E-13;;0.010257346;;;;;;
AT2G26370;MD-2-related lipid recognition domain-containing protein(AT2G26370);3-5#8#10#12;;6;4h;;;-1.7;-1;-1.1;;;-6.8;;-2.2;;-1.2;;;;;;;0.006090159;0.000367151;0.008227176;;;0.000760377;;1.43E-08;;0.038782813;;;;
AT1G55550;P-loop containing nucleoside triphosphate hydrolases superfamily protein(AT1G55550);3;;1;4h;;;-1.7;;;;;;;;;;;;;;;;0.041656359;;;;;;;;;;;;;
AT4G20240;cytochrome P450, family 71, subfamily A, polypeptide 27(CYP71A27);3-4#6-7#10#12;;6;4h;;;-1.7;-0.8;;-1.2;-1.6;;;-0.8;;-1;;;;;;;2.21E-10;0.00229855;;0.004560206;0.000102598;;;7.37E-08;;2.66E-08;;;;
AT1G02390;glycerol-3-phosphate acyltransferase 2(GPAT2);3#10;;2;4h;;;-1.7;;;;;;;-2.5;;;;;;;;;0.039691509;;;;;;;0.000121924;;;;;;
AT1G61840;Cysteine/Histidine-rich C1 domain family protein(AT1G61840);3#10;;2;4h;;;-1.7;;;;;;;-3.4;;;;;;;;;0.00258088;;;;;;;2.04E-30;;;;;;
AT1G53163;membrane-associated kinase regulator(AT1G53163);3;;1;4h;;;-1.7;;;;;;;;;;;;;;;;0.024994429;;;;;;;;;;;;;
AT5G17810;WUSCHEL related homeobox 12(WOX12);3;;1;4h;;;-1.7;;;;;;;;;;;;;;;;0.00015021;;;;;;;;;;;;;
AT1G65620;Lateral organ boundaries (LOB) domain family protein(AS2);3;;1;4h;;;-1.7;;;;;;;;;;;;;;;;0.0002349;;;;;;;;;;;;;
AT1G66970;SHV3-like 2(SVL2);3;;1;4h;;;-1.7;;;;;;;;;;;;;;;;0.022253667;;;;;;;;;;;;;
AT1G34040;Pyridoxal phosphate (PLP)-dependent transferases superfamily protein(AT1G34040);3-4#7#16;;4;4h;;;-1.6;-0.6;;;-1.3;;;;;;;;;-1.3;;;1.58E-15;0.031819627;;;0.004409083;;;;;;;;;0.030199449
AT5G40420;oleosin 2(OLEO2);08.μΰπ;10;7;4h;;;-1.6;-1.9;-1.1;-1.2;-1.1;-1.6;;5.7;;;;;;;;;4.47E-50;3.96E-05;2.70E-08;3.32E-06;0.010175057;6.82E-07;;0.020735775;;;;;;
AT1G65610;Six-hairpin glycosidases superfamily protein(KOR2);3#8#10;;3;4h;;;-1.6;;;;;-0.8;;-0.4;;;;;;;;;1.21E-07;;;;;0.022804428;;0.010156387;;;;;;
AT5G23840;MD-2-related lipid recognition domain-containing protein(AT5G23840);3-5#7-8#10#16;;7;4h;;;-1.6;-0.7;-0.9;;-1.1;-1.4;;-0.9;;;;;;-1.4;;;1.98E-12;7.04E-12;5.33E-07;;0.00012727;0.003892576;;4.68E-09;;;;;;0.016788309
AT3G45430;Concanavalin A-like lectin protein kinase family protein(AT3G45430);3;;1;4h;;;-1.6;;;;;;;;;;;;;;;;0.035803692;;;;;;;;;;;;;
AT2G37530;forkhead box protein G1(AT2G37530);3#8#10;;3;4h;;;-1.6;;;;;-8;;-1.4;;;;;;;;;0.00924761;;;;;0.000165327;;0.01766617;;;;;;
AT1G09812;multidrug resistance protein(AT1G09812);3#5#8#10;;4;4h;;;-1.6;;-2.3;;;-2.1;;-2.1;;;;;;;;;0.009692435;;0.000401146;;;0.029222637;;0.025973276;;;;;;
AT3G51970;acyl-CoA sterol acyl transferase 1(ASAT1);3;;1;4h;;;-1.6;;;;;;;;;;;;;;;;0.00174831;;;;;;;;;;;;;
AT4G31805;WRKY family transcription factor(AT4G31805);3;;1;4h;;;-1.6;;;;;;;;;;;;;;;;0.031181025;;;;;;;;;;;;;
AT1G09103;;3;;1;4h;;;-1.6;;;;;;;;;;;;;;;;0.001362864;;;;;;;;;;;;;
AT5G47330;alpha/beta-Hydrolases superfamily protein(AT5G47330);3;;1;4h;;;-1.6;;;;;;;;;;;;;;;;3.87E-07;;;;;;;;;;;;;
AT1G74675;;3;8;2;4h;;;-1.6;;;;;7;;;;;;;;;;;0.015058074;;;;;0.024068998;;;;;;;;
AT5G41050;Pollen Ole e 1 allergen and extensin family protein(AT5G41050);3;;1;4h;;;-1.6;;;;;;;;;;;;;;;;9.16E-06;;;;;;;;;;;;;
AT4G39510;cytochrome P450, family 96, subfamily A, polypeptide 12(CYP96A12);3#8;;2;4h;;;-1.6;;;;;-1.6;;;;;;;;;;;3.34E-06;;;;;0.000683111;;;;;;;;
AT1G30110;nudix hydrolase homolog 25(NUDX25);3#8;;2;4h;;;-1.6;;;;;-1.2;;;;;;;;;;;1.02E-10;;;;;0.0061853;;;;;;;;
AT4G28940;Phosphorylase superfamily protein(AT4G28940);3-4#6-8#12#14-16;;9;4h;;;-1.6;-0.9;;-3.1;-4.6;-4.1;;;;-1.8;;-1.2;-1.3;-1.6;;;1.58E-07;0.009075287;;2.61E-06;8.84E-08;4.00E-09;;;;0.032433807;;0.00160733;0.010076424;0.00558099
AT5G59490;Haloacid dehalogenase-like hydrolase (HAD) superfamily protein(AT5G59490);3-5#8#10#13-15;;8;4h;;;-1.6;-0.8;-0.8;;;-3.6;;-0.7;;;-1.3;-1.3;-1.5;;;;2.54E-07;0.016567821;0.011707677;;;2.97E-18;;0.020642427;;;0.03651915;0.007427768;0.007288038;
AT4G14245;;3#8;;2;4h;;;-1.6;;;;;-2.5;;;;;;;;;;;0.002805815;;;;;0.001027165;;;;;;;;
AT3G05770;hypothetical protein(AT3G05770);3#7;4#10;4;4h;;;-1.6;1.2;;;-1.8;;;1.4;;;;;;;;;9.58E-05;0.000142479;;;0.002000185;;;0.038206519;;;;;;
AT4G01430;nodulin MtN21 /EamA-like transporter family protein(UMAMIT29);3-4#8#10#12;;5;4h;;;-1.6;-1.4;;;;-2.1;;-1;;-1.9;;;;;;;1.53E-06;7.39E-06;;;;0.002189165;;9.63E-05;;0.019878518;;;;
AT1G35515;high response to osmotic stress 10(HOS10);3;;1;4h;;;-1.6;;;;;;;;;;;;;;;;0.043446342;;;;;;;;;;;;;
AT2G25150;HXXXD-type acyl-transferase family protein(AT2G25150);3-8#12;;7;4h;;;-1.6;-0.8;-1.7;-1.5;-2.6;-1.7;;;;-1.3;;;;;;;2.18E-74;0.000115525;1.78E-08;1.87E-09;1.21E-20;2.46E-37;;;;0.001324379;;;;
AT3G59270;FBD-like domain family protein(AT3G59270);3;;1;4h;;;-1.6;;;;;;;;;;;;;;;;0.016365025;;;;;;;;;;;;;
AT2G46150;Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family(AT2G46150);3-5#9-10;;5;4h;;;-1.6;-1.7;-1.8;;;;-1.3;-1.7;;;;;;;;;0.006298803;8.43E-07;0.003208462;;;;0.01401677;3.13E-09;;;;;;
AT5G25130;cytochrome P450, family 71, subfamily B, polypeptide 12(CYP71B12);3;;1;4h;;;-1.5;;;;;;;;;;;;;;;;0.031927682;;;;;;;;;;;;;
AT3G15650;alpha/beta-Hydrolases superfamily protein(AT3G15650);3;10;2;4h;;;-1.5;;;;;;;0.8;;;;;;;;;0.018154942;;;;;;;0.03283765;;;;;;
AT3G45650;nitrate excretion transporter1(NAXT1);3#5#8;;3;4h;;;-1.5;;-1.1;;;-1.2;;;;;;;;;;;1.14E-09;;3.55E-07;;;0.013122797;;;;;;;;
AT1G18835;mini zinc finger(MIF3);3;;1;4h;;;-1.5;;;;;;;;;;;;;;;;0.0118586;;;;;;;;;;;;;
AT1G05310;Pectin lyase-like superfamily protein(AT1G05310);3#16;;2;4h;;;-1.5;;;;;;;;;;;;;-1.4;;;0.00136728;;;;;;;;;;;;;0.010420183
AT2G27080;Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family(AT2G27080);3#8;;2;4h;;;-1.5;;;;;-1.6;;;;;;;;;;;9.36E-10;;;;;1.07E-11;;;;;;;;
AT4G06536;SPla/RYanodine receptor (SPRY) domain-containing protein(AT4G06536);3#8;;2;4h;;;-1.5;;;;;-2.1;;;;;;;;;;;0.006668205;;;;;0.011180261;;;;;;;;
AT5G06740;Concanavalin A-like lectin protein kinase family protein(AT5G06740);3#5#12;;3;4h;;;-1.5;;-1;;;;;;;-0.7;;;;;;;0.000439568;;0.029727263;;;;;;;0.035487676;;;;
AT5G10230;annexin 7(ANNAT7);3-4#6-8#10#12-16;;11;4h;;;-1.5;-0.8;;-2.1;-1.7;-3;;-2;;-2.9;-3.1;-2.9;-2.5;-2.3;;;0.005057506;0.000175074;;0.000268404;0.00596525;9.04E-12;;2.52E-09;;0.002120673;0.019412972;0.006772228;0.023227974;0.005734251
AT4G11890;Protein kinase superfamily protein(ARCK1);3;;1;4h;;;-1.5;;;;;;;;;;;;;;;;0.022410402;;;;;;;;;;;;;
AT4G03420;hypothetical protein (DUF789)(AT4G03420);3#8;;2;4h;;;-1.5;;;;;-0.7;;;;;;;;;;;2.74E-54;;;;;0.000626262;;;;;;;;
AT4G34800;SAUR-like auxin-responsive protein family(AT4G34800);3#5;;2;4h;;;-1.5;;-2;;;;;;;;;;;;;;0.007079346;;4.32E-06;;;;;;;;;;;
AT3G47295;hypothetical protein(AT3G47295);3#6;;2;4h;;;-1.5;;;-1;;;;;;;;;;;;;1.91E-05;;;0.002085739;;;;;;;;;;
AT5G58670;phospholipase C1(PLC1);3;;1;4h;;;-1.5;;;;;;;;;;;;;;;;0.017838031;;;;;;;;;;;;;
AT3G45680;Major facilitator superfamily protein(AT3G45680);3#7#16;;3;4h;;;-1.5;;;;-1.7;;;;;;;;;-1.2;;;0.000387309;;;;0.001148592;;;;;;;;;0.010529251
AT4G20460;NAD(P)-binding Rossmann-fold superfamily protein(AT4G20460);3#5;;2;4h;;;-1.5;;-0.9;;;;;;;;;;;;;;0.005133318;;0.000483893;;;;;;;;;;;
AT5G40630;Ubiquitin-like superfamily protein(AT5G40630);3#8;;2;4h;;;-1.5;;;;;-1.9;;;;;;;;;;;7.60E-05;;;;;0.00603798;;;;;;;;
AT1G31710;Copper amine oxidase family protein(AT1G31710);3#5#8#12;;4;4h;;;-1.5;;-0.5;;;-1;;;;-0.3;;;;;;;4.31E-85;;0.01253597;;;2.22E-09;;;;0.020060926;;;;
AT5G59310;lipid transfer protein 4(LTP4);3#7-8;;3;4h;;;-1.5;;;;-3.5;-3.1;;;;;;;;;;;1.12E-07;;;;0.00012727;1.15E-11;;;;;;;;
AT3G16330;Avr9/Cf-9 rapidly elicited protein(AT3G16330);3;;1;4h;;;-1.5;;;;;;;;;;;;;;;;0.002210423;;;;;;;;;;;;;
AT1G14960;Polyketide cyclase/dehydrase and lipid transport superfamily protein(AT1G14960);3-5#7-8#12-13#16;10;9;4h;;;-1.5;-0.7;-1.2;;-1.3;-1.2;;1.1;;-1.8;-2.1;;;-1.7;;;1.18E-07;7.56E-06;1.17E-08;;7.46E-05;0.039681045;;6.26E-13;;1.07E-14;0.007630315;;;0.015331641
AT2G42350;RING/U-box superfamily protein(AT2G42350);3;;1;4h;;;-1.5;;;;;;;;;;;;;;;;0.030195407;;;;;;;;;;;;;
AT2G26390;Serine protease inhibitor (SERPIN) family protein(AT2G26390);3#9-10#14;;4;4h;;;-1.5;;;;;;-1.1;-3.2;;;;-1;;;;;0.011504858;;;;;;0.013679949;1.68E-05;;;;0.011747089;;
AT3G17609;HY5-homolog(HYH);3;;1;4h;;;-1.5;;;;;;;;;;;;;;;;4.61E-05;;;;;;;;;;;;;
AT4G02360;transmembrane protein, putative (Protein of unknown function, DUF538)(AT4G02360);3#8;;2;4h;;;-1.4;;;;;-1.4;;;;;;;;;;;8.53E-05;;;;;0.025137633;;;;;;;;
AT5G01870;Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein(AT5G01870);3#5;;2;4h;;;-1.4;;-1.4;;;;;;;;;;;;;;0.014534369;;2.60E-09;;;;;;;;;;;
AT5G44550;Uncharacterized protein family (UPF0497)(AT5G44550);3#6-8#16;;5;4h;;;-1.4;;;-1.2;-3.9;-2.3;;;;;;;;-1.8;;;2.65E-10;;;1.53E-05;2.90E-30;2.03E-06;;;;;;;;0.037018039
AT4G40065;ncRNA(AT4G40065);3;;1;4h;;;-1.4;;;;;;;;;;;;;;;;0.02326084;;;;;;;;;;;;;
AT5G23830;MD-2-related lipid recognition domain-containing protein(AT5G23830);3-4#7-8#10#12;;6;4h;;;-1.4;-0.8;;;-1.3;-2.1;;-0.6;;-0.6;;;;;;;7.92E-19;1.77E-11;;;6.47E-06;7.41E-10;;4.86E-07;;2.00E-05;;;;
AT1G71910;hypothetical protein(AT1G71910);3#8;;2;4h;;;-1.4;;;;;-4.4;;;;;;;;;;;0.031500264;;;;;0.002574635;;;;;;;;
AT2G44010;hypothetical protein(AT2G44010);3;;1;4h;;;-1.4;;;;;;;;;;;;;;;;0.029554792;;;;;;;;;;;;;
AT1G61050;alpha 1,4-glycosyltransferase family protein(AT1G61050);3;;1;4h;;;-1.4;;;;;;;;;;;;;;;;2.70E-05;;;;;;;;;;;;;
AT1G50280;Phototropic-responsive NPH3 family protein(AT1G50280);3;;1;4h;;;-1.4;;;;;;;;;;;;;;;;0.001033059;;;;;;;;;;;;;
AT3G21770;Peroxidase superfamily protein(AT3G21770);3-5#8#12;;5;4h;;;-1.4;-0.3;-0.5;;;-1.2;;;;-0.3;;;;;;;1.80E-73;0.005733968;0.021926754;;;2.93E-11;;;;0.00024783;;;;
AT3G02620;Plant stearoyl-acyl-carrier-protein desaturase family protein(AT3G02620);3-5#7-8#10#12;;7;4h;;;-1.4;-0.8;-1.6;;-1.3;-1.1;;-1.8;;-1.5;;;;;;;7.42E-06;1.82E-20;9.70E-14;;0.003547905;0.014347789;;8.84E-33;;3.82E-14;;;;
AT2G03710;K-box region and MADS-box transcription factor family protein(SEP4);3;;1;4h;;;-1.4;;;;;;;;;;;;;;;;0.002899311;;;;;;;;;;;;;
AT3G12977;NAC (No Apical Meristem) domain transcriptional regulator superfamily protein(AT3G12977);3#8;;2;4h;;;-1.4;;;;;-1.5;;;;;;;;;;;5.47E-09;;;;;0.008530844;;;;;;;;
AT3G45960;expansin-like A3(EXLA3);3#5;10;3;4h;;;-1.4;;-1;;;;;1.9;;;;;;;;;0.003121438;;2.27E-05;;;;;2.65E-05;;;;;;
AT2G38380;Peroxidase superfamily protein(AT2G38380);3#5#7-8;10;5;4h;;;-1.4;;-0.4;;-1.5;-1.5;;0.5;;;;;;;;;3.40E-12;;0.02121518;;1.83E-05;3.08E-09;;1.58E-05;;;;;;
